,Total_Test,Period1,Period2
r2,0.9344651387468924,0.9897624122639006,0.812204942422646
mae,34.51282277768226,21.573118410499998,45.08037525633333
rmse,73.45194412509001,32.63147126133577,96.85546619488382
mape,282.15558459365786,294.93523686828763,298.8248660937424
smape,86.67599122493954,87.8009073599462,91.98584809600094
rae,14.209545141782298,7.498135987311338,24.927655101704424
