,Total_Test,Period1,Period2
r2,0.9344498018550116,0.9979110027327748,0.7910078722875661
mae,29.293640895084373,8.9069120729,47.1231952231
rmse,73.46053847169051,14.740315286717964,102.17555854548576
mape,156.967389252557,161.21890613963262,169.490966804777
smape,118.38269869194995,117.88316251011895,129.56180139933682
rae,12.06071480583238,3.095761895838102,26.057253319928677
