,Period1,Period2
r2,0.9979110027327748,0.7910078722875661
mae,8.9069120729,47.1231952231
rmse,14.740315286717964,102.17555854548576
mape,161.21890613963262,169.490966804777
smape,117.88316251011895,129.56180139933682
rae,3.095761895838102,26.057253319928677
