,Period1,Period2
r2,0.9859194715368033,0.8184186452537479
mae,23.98720561978333,51.14109989056667
rmse,38.26901766873068,95.23962631393276
mape,278.241043717445,383.63385044714704
smape,119.16038289022757,126.76111756647374
rae,8.33719661062972,28.27899484742553
